timestamp,compression,term_premium,s_t,mu0,sigma0,layer1,triggered,primary_dealer_pct,control_limit
2026-06-22T09:32:58.089968,0.0359404674911304,0.0,0.0011117328661892,0.028121619388924,0.0134142304720341,False,False,,
2026-06-22T09:54:07.495671,3.34001336005344,0.0,0.0,3.514545573105337,0.1410541678822107,False,False,15.0,
2026-06-22T10:01:07.781327,3.34001336005344,0.0,0.0,3.514545573105337,0.1410541678822107,False,False,15.0,
2026-06-22T10:01:56.865406,3.34001336005344,0.0,0.0,3.514545573105337,0.1410541678822107,False,False,15.0,
2026-06-22T10:04:30.844058,3.34001336005344,0.0,0.0,3.514545573105337,0.1410541678822107,False,False,15.0,
2026-06-22T10:08:19.081372,3.34001336005344,0.0,0.0,3.514545573105337,0.1410541678822107,False,False,15.0,
2026-06-22T10:14:33.419459,5.611222444889779,0.0,0.0,5.904436562816966,0.2369710020421141,False,False,25.2,
2026-06-22T03:49:47.502769,5.611222444889779,0.0,0.0,5.904436562816966,0.2369710020421141,False,False,25.2,1.1848550102105706
2026-06-22T23:23:25.133050,5.550325039228872,-0.2754820936639035,0.0,5.801343226005876,0.2328334131175692,False,False,24.76,1.1641670655878462
2026-06-23T23:10:57.297457,5.426734648636666,-0.2762430939226568,0.0,5.736290033162547,0.2300004946571335,False,False,24.48,1.1500024732856675
2026-06-24T23:08:16.881341,5.545434347922684,0.2770083102493048,0.0,5.8494738458262105,0.2344241990662753,False,False,24.96,1.1721209953313767
2026-06-25T23:22:03.636668,5.658580820675583,0.0,0.0,5.850028201987866,0.2342194853840557,False,False,24.96,1.1710974269202787
2026-06-26T23:10:51.441715,5.671438309475119,0.5524861878453136,0.0,5.850289367437292,0.2338665321091923,True,False,24.96,1.1693326605459615
2026-06-27T23:06:00.200390,5.671438309475119,0.5524861878453136,0.0,5.850289367437292,0.2338665321091923,True,False,24.96,1.1693326605459615
2026-06-28T23:07:32.800799,5.671438309475119,0.5524861878453136,0.0,5.850289367437292,0.2338665321091923,True,False,24.96,1.1693326605459615
2026-06-29T23:01:43.481462,5.715590047934261,-0.5494505494505475,0.0,5.869040294897027,0.2346161043274911,True,False,25.04,1.1730805216374556
2026-06-30T23:16:44.220448,5.697329376854599,0.0,0.0,5.850268408698003,0.2334727638955524,False,False,24.96,1.1673638194777622
2026-07-01T23:19:39.652023,5.516775501013284,1.6574585635359185,0.0,5.742385562609386,0.2287879202340132,True,False,24.5,1.1439396011700662
2026-07-02T23:11:28.893486,5.5701852265119385,-0.5434782608695676,0.0,5.850366038197151,0.2327107075299907,True,False,24.96,1.1635535376499535
2026-07-03T23:07:59.967962,5.5701852265119385,-0.5434782608695676,0.0,5.850366038197151,0.2327107075299907,True,False,24.96,1.1635535376499535
2026-07-04T23:00:47.874063,5.5701852265119385,-0.5434782608695676,0.0,5.850366038197151,0.2327107075299907,True,False,24.96,1.1635535376499535
2026-07-05T23:04:44.483911,5.5701852265119385,-0.5434782608695676,0.0,5.850366038197151,0.2327107075299907,True,False,24.96,1.1635535376499535
2026-07-06T23:11:39.210471,5.575595635715875,-0.5464480874316946,0.0,5.869421772687401,0.2331266474914547,True,False,25.04,1.165633237457274
2026-07-07T23:05:36.923169,5.58803838428922,-0.2747252747252848,0.0,5.869421772687401,0.2331266474914547,False,False,25.04,1.165633237457274
2026-07-08T23:11:29.182021,5.422983959569325,-0.2754820936639035,0.0,5.785060471673933,0.229393339594832,False,False,24.68,1.1469666979741602
2026-07-09T23:15:07.763697,5.525104143828107,-1.104972375690605,0.0,5.907019672704794,0.2338416046213757,True,False,25.2,1.1692080231068789
2026-07-10T23:01:17.954610,5.549438449680687,-1.3966480446927498,0.0,5.906465190665063,0.2336541841022286,True,False,25.2,1.1682709205111432
2026-07-11T22:54:12.598714,5.549438449680687,-1.3966480446927498,0.0,5.906465190665063,0.2336541841022286,True,False,25.2,1.1682709205111432
2026-07-12T22:54:18.819505,5.549438449680687,-1.3966480446927498,0.0,5.906465190665063,0.2336541841022286,True,False,25.2,1.1682709205111432
2026-07-13T22:58:10.234638,5.419864064898048,0.56657223796035,0.0,5.793634050139585,0.2288971400454064,True,False,24.72,1.144485700227032
2026-07-14T22:59:11.704886,5.453365072495131,1.4084507042253502,0.0,5.906131798685985,0.2333417447064822,True,False,25.2,1.166708723532411
2026-07-15T22:59:59.578507,5.387469984719493,0.8333333333333304,0.0,5.783722609326995,0.228343586424031,True,False,24.68,1.1417179321201552
2026-07-16T22:59:59.037130,5.537244561634806,0.27548209366392573,0.0,5.905299333590076,0.23282646460089437,False,False,25.2,1.1641323230044718
